ID,Severity,Area,Reported Symptom,Root Cause,Fix,How QA Verifies,Commit,Status
A1,High,Customer drawer,"Right-side customer drawer always showed the same name (e.g. Lucio Bruno) regardless of which customer was clicked; phone/items were correct.","Name read via a find() over ALL items (first named item) instead of the clicked customer.","Name and phone now read from the clicked customer's own items.","Open the customer drawer for several different customers in Open Items; header name + phone must match the clicked row every time.",85ec778,Ready for QA
A2,High,Call drawer,"Listen/Transcript could play a DIFFERENT call than the item came from (wrong recording/transcript/summary).","When the item's own call id failed to load it silently fell back to the customer's most recent call and showed it as the source.","Fallback runs only when the item has no call id at all, and shows an amber banner that it may not be this item's call; an item with a real id that fails shows its evidence excerpt instead of an unrelated call.","Item with a real recording -> correct call, no banner. Call item with no linked call -> amber banner appears. Transcript/recording always belongs to the same customer.",5784d7f,Ready for QA
A3,Medium,Call drawer,"Browse all conversations -> clicking a call did nothing, or showed the previous call's details.","Report fetch keyed off the item, not the clicked call, so a drilled call never loaded.","Drilling into a call now fetches that specific call's report.","Open a customer's call drawer -> Browse all conversations -> click a different call -> its recording/transcript/summary loads; Back and pick another -> it updates.",5784d7f,Ready for QA
A4,Medium,Call drawer,"A sales item could resolve its call against service conversations (wrong context).","Conversation lookup defaulted to the global 'service' department instead of the item's own department.","Lookup now uses the item's own department.","On a sales item confirm resolved call/conversations are sales-side; repeat on a service item.",5784d7f,Ready for QA
A5,Medium,Queue / pagination,"On busy rooftops an item could appear twice and inflate the Repeat callers count.","Sequential paged fetch had no dedup; a row shifting between pages was fetched twice.","Items de-duplicated by id across pages.","On a large multi-page backlog scroll the full queue: no duplicate rows; repeat-caller counts sane.",5784d7f,Ready for QA
A6,Medium,Repeat callers,"A customer who contacted once but generated several action items was labelled an N-time repeat caller.","Repeat count counted raw action items, not distinct conversations.","Now counts distinct conversations/calls per customer.","Customer whose multiple items came from one call/email -> badge x1; customer with separate calls -> true count.",5784d7f,Ready for QA
A7,Low,Drawers,"(Hardening) Rare chance a panel keeps a previous item's/customer's state.","Drawers not keyed by id.","Both drawers remount per item/customer.","Rapidly open different customers/items in succession: no stale content carries over.",5784d7f,Ready for QA
A8,Low,Queue search,"(Hardening) Searching a customer with no item in the current queue selected the wrong customer.","Search built candidates from the global customer map, not the scoped queue.","Search candidates now come from the items in the queue.","Type a name/phone in queue search; picking a result always selects that exact customer.",5784d7f,Ready for QA
A9,Low,Customer data,"(Hardening) A customer's name/phone could degrade to 'Customer'/blank.","A later sparse duplicate record overwrote a good name/phone.","Merge-fill instead of overwrite.","Names/phones stay populated across refreshes and tab switches.",5784d7f,Ready for QA
B1,High,Persistence,"Resolved/Incorrect items disappeared after refresh or when switching Sales<->Service.","Session-only state.","Resolved/Incorrect read from the DB (completed items with a console resolution).","Resolve an item -> refresh -> still under Resolved. Flag Incorrect -> refresh -> still there. Switch depts and back -> persists.","a634003, 0211b31",Ready for QA
B2,High,Counts,"After resolving, the count reverted on refresh.","Pending total was computed from a partial page.","Pending fetch paginates the full backlog so resolved items are correctly excluded.","Resolve several items -> refresh -> counts stay reduced.",1be01c5,Ready for QA
B3,Medium,Routing,"Sales/Service needed separate deep-links; department not in URL correctly.","serviceType not canonical.","serviceType is the canonical department URL param; toggle writes it back.","Load ?serviceType=service -> Service active. Toggle to Sales -> URL updates to serviceType=sales. Deep-link both.","7b1ab1b, 6c4130c",Ready for QA
B4,Medium,Dept filtering,"Service tab showed Sales items and vice-versa.","Department derived from shared intent code.","Per-item department derived from the item's service_type.","In Service every item is service; in Sales every item is sales; no bleed.","6c4130c, fd6585b",Ready for QA
B5,Medium,Host integration,"Address bar didn't sync with the Sales/Service toggle inside the iframe.","No host<->iframe bridge.","postMessage bridge added; host must apply HOST-INTEGRATION.md to forward serviceType.","With the host patch applied, toggling the tab updates the parent URL. Depends on converse-ai host change.","21fd29e, d3177b4",Blocked on host
B6,Medium,Recording,"'No recording available' even when a recording existed.","Recording URL was relative; player rejected it.","Recording URL is absolute, routed through the same-origin proxy.","Open an item with a recording -> it plays.",747e4e7,Ready for QA
B7,Medium,SMS,"SMS/chat action items not showing or mis-channelled.","SMS channel misclassification.","SMS channel classification fixed; items appear under Channel = SMS with the thread.","Filter Channel = SMS -> SMS items appear with their message thread.",fd6585b,Ready for QA
B8,Medium,Sorting,"Queue not ordered by urgency.","No breach-based sort.","Sort by longest SLA breach first (absolute overdue time).","Top of the queue is the most-overdue customer.",fd6585b,Ready for QA
B9,Medium,Search,"Couldn't search by phone number.","No phone search.","Phone search added (ignores formatting and +1).","Search 2162022537 finds +1 216-202-2537.",fd6585b,Ready for QA
B10,Medium,Filters,"Callbacks quick-filter missed items; Listen disabled despite a resolvable call.","Chip matched wrong intents; Listen gated on channel.","Callbacks chip matches all real callback intents; Listen enabled when a call is resolvable.","Callbacks chip returns all callback-type items; Listen enabled on items with a call.",115b07e,Ready for QA
B11,Low,Product change,"'At-risk' tagging/filter confusing (product call to remove).","N/A.","Removed At-risk chip + filter.","No At-risk chip anywhere.",c2811d3,Ready for QA
B12,Low,Product change,"Manager/My-queue toggle to be removed.","N/A.","Removed the scope toggle.","No Manager/My-queue toggle.",fd6585b,Ready for QA
